"Date","Rev"
"on July 14, 2014","When I tried to add it to my phone I got a message stating there was an update. Couldn't find an update = unable to upload. WOrks fine on my Kindle."
"on November 7, 2015","This app isn't good it's great nothing wrong with it"
"on February 1, 2016","It is a great tool of music app !"
"on July 24, 2015","I use Spotify all the time. Works great on my Kindle and keeps me in tunes!"
"on November 29, 2015","Love it. It's amazing. Favorite music app ever."
"on March 16, 2016","Very dope. Recommend it"
"on December 20, 2014","Great music for my phone the bomb love it is alsome great app kickbacks it merry Christmas to all and enjoy this app"
"on February 18, 2016","Amazing quality, easy to use."
"on January 17, 2016","Worth it🙆 worth the premium enjoy🙅"
"on March 29, 2016","Really enjoyable !!!"
"on March 29, 2016","I can play any music"
"on May 25, 2015","This app is my life when I have internet access but it won't let me upgrade to premium"
"on December 3, 2015","Amazing music app better then any other by far"
"on September 3, 2014","Spotify has great music selections. Radio is helpful and all together this is a great medium for music listing. I am glad I have this app."
"on February 17, 2016","This is my favorite music app"
"on September 18, 2014","this thing is amazing I mainly listen to electro music on here but it has all type of music on here I'd give it 10 if that was possible"
"on August 10, 2015","The flexibility is amazing. Great avenue to explore genres and artists."
"on October 3, 2014","I can't believe how awesome this is no words to describe it you can search up lots of songs so cool radio and u can create playlists"
"on May 23, 2016","ilike it"
"on May 10, 2016","It is great"
"on December 2, 2015","I like it very much I suggested this to my sis"
"on March 1, 2016","Free streaming, nuff said."
"on May 10, 2016","It's great!"
"on May 23, 2016","Great!!!"
"on December 20, 2015","I rpefaklly  Fliake seprortwify"
"on January 2, 2016","never regretted getting this. the best."
"on January 2, 2015","Love spotify it's awesome. Been a member for over 1 year one and I love it. I just wish it run better on my phone."
"on February 6, 2015","I love this app its amazing... There is nothing that I can't listen to.. It is so much better than Pandora."
"on December 24, 2015","Switched from Pandora,best decision ever."
"on August 16, 2014","Spotify is a great place for music I use it all the time #teamspotify Spotlight makes me get up an dance you can find its greatest hits"
"on January 15, 2016","Great on kindle fire , lots of music"
"on February 18, 2015","I have always used spotlight and can listen to whatever I like cuz they got it unlike some apps out there."
"on November 13, 2015","Very user friendly and great music to choose from."
"on February 11, 2016","Spotify is awesome. I love it."
"on September 28, 2015","This is the best app ever now I can listen to gangster songs"
"on January 2, 2015","It's an overall nice app"
"on March 14, 2016","It crashes sometimes..."
"on December 22, 2014","Great way to listen to your favorite music. Its not like Pandora when you have to listen to the songs you dont like."
"on October 7, 2015","I love how I can make my own playlists of the songs I like"
"on October 7, 2015","I love Spotify! Listen to it all of the time! Works great!"
"on May 4, 2016","Love spotify"
"on March 15, 2015","Great! Yay its great i love and its really cool music everywhere i love it and i reccomend it for you"
"on February 15, 2015","It's great and easy to use 😃 I can access my music literally anywhere This app is a must-have!"
"on January 21, 2015","This app lets you listen to all of the music you never could with itube sand make playlists this app is great."
"on February 24, 2016","It has amazing music on it."
"on November 30, 2015","I'm in love with this app. I can't get enough."
"on November 11, 2014","Out is just like I tunes you can make a playlist but every song is free you don't have to pay at all for any Song five stars"
"on December 18, 2015","Wow this is a really good app I love it XD"
"on December 18, 2015","This app is really good.it work,s so good"
"on September 4, 2015","Really cool app,lots of music and it really works and it's free.."
"on January 18, 2016","I love this app, more than Pandora."
"on March 12, 2016","Way better then pandora"
"on September 30, 2014","I have this app on my computer, it is great, free is my favorite word! All the music I like great sound! I'm so glad I found Spotify"
"on October 1, 2015","I love this app it give you music to listen to and it freee"
"on February 5, 2016","Great app, a lot of good music."
"on March 12, 2016","Great app. Great music!"
"on January 31, 2016","i switched from pandoria to this"
"on February 27, 2016","I Love the app. The music."
"on April 28, 2016","It's all good"
"on June 7, 2016","cool"
"on April 19, 2016","This app is lit"
"on March 8, 2015","How great it is to be reminded of a song or album that you loved and find and play instantly for free!"
"on May 16, 2015","It's great! Not very many ads without premium. If I had premium I would rate five stars."
"on November 4, 2014","Used pandora for a while glad I found this instead (ignore me trying to get the 20 word minimum but I do believe in this app)"
"on February 18, 2016","This is an amazing music app"
"on March 16, 2016","Gospel music excellent"
"on May 2, 2016","💜💜💜💜💜💜"
"on December 30, 2015","So far it's an outstanding application."
"on October 5, 2015","It allows you to listen to music that you like for free!!!"
"on April 1, 2015","You can find music you want and listen too it and not get random music and you can make playlists"
"on March 29, 2016","Spotify is awesome!"
"on August 1, 2015","It's good all the album's you could want but it take pretty long to load"
"on October 9, 2014","It's the best. I like how you can listen to ANY artist. If you are looking for an app that you want to hear music this is the one."
"on January 4, 2016","I love Spotify it's the best music app"
"on December 4, 2014","Best music app. Every song I can think of is on here. Great for nostalgic music sessions. Can find absolutely no faults"
"on April 27, 2016","love my music"
"on December 3, 2015","A really wonderful app. I highly recommend it"
"on May 24, 2016","love it"
"on May 19, 2016","Love it!"
"on January 17, 2016","It's a great app...I love using it!"
"on June 8, 2015","Great! A lot of genres available. Can't think of anything negative to say about it."
"on November 18, 2014","I love this app! I don't listen to much mainstream music and I've found everything I listen to. Also extremely easy to use"
"on January 30, 2016","General Zod loves his Adele....."
"on May 19, 2016","The best"
"on September 2, 2014","this is different to use than your computer spotify. some odd reason it will not allow me to listen to music that is not on my favorites."
"on October 8, 2014","I really enjoy listing to music of my choosing anytime. I like that I can save whatever song I hear for later, it's just the best!"
"on February 8, 2016","Amazing app....I love it!!!!!!"
"on December 8, 2014","I can practically find whatever I want and make my own play list! I have my clean, XxxX, work out, and dance play list"
"on October 8, 2015","If you love music then you'll love this app. Easy to use."
"on March 23, 2016","Great app for music!"
"on January 11, 2016","I get to lison to my favorite music."
"on April 26, 2016","A suburb app."
"on November 2, 2014","This is such an awesome app because whenever I wanna listen to music it has all the music I'm looking for.great job spotify:)"
"on August 27, 2015","AWESOME! Because I get to listen to all my favorite music for free"
"on November 27, 2015","The spotfy team and music is amazing I love it"
"on June 12, 2015","Great selection of music and easy to use. I use it with my wireless Bose speaker."
"on September 19, 2015","This s*** is fire. Maybe consider lowering the monthly price."
"on October 7, 2015","Best damn music app out there. Would highly recommend it."
"on January 29, 2016","Discovering lots of new music!!!"
"on February 20, 2016","You can listen to MINECRAFT"
"on July 30, 2015","The volume moves while the song is playing. It gets quiet. Very annoying"
"on July 15, 2014","the best music product. it has so much music u can play from classical to music to study for a test. please get this app u wouldnt be dissapionted"
"on December 27, 2014","Easy to use. Works best, given my age and hearing capability, with headphones. Nice selection of folk and country."
"on January 1, 2016","This app is great it boosted my volume"
"on May 22, 2016","Love it"
"on February 10, 2015","This app s awesome u can get any song in the world!! It's great for when your workingout chilin anything."
"on September 15, 2014","Spotify rocks ...i love that i can have it on all my devices and have my music plus hear new music if i choose ...best music app ever!"
"on February 24, 2016","Love this just so many ads"
"on December 27, 2015","It's the best on the market. Hands down"
"on May 30, 2016","Spotify is a great free way to listen to all you favorite music anywhere, any time."
"on April 20, 2016","Fantastic app!"
"on April 11, 2016","Love this app!!!"
"on November 16, 2015","Can't really say any thing bad, I love this app!"
"on May 2, 2015","Works well on multiple devices. bring able to store on device also helps when not online."
"on January 31, 2016","One of the best apps for music."
"on September 9, 2014","I try tonplay Lady gaga poker face and it puts on Adele rolling in the deep. Like wtf so stupid and frustrating. Not highly recommended"
"on February 21, 2015","I really like this app but I wish u didn't have to buy stuff. But other than than that I really like it."
"on April 19, 2016","It's the best."
"on January 24, 2015","I like it was good but not sure yet so I'm going to do that for you and I don't know what time are they have"
"on October 14, 2015","Very easy to use and does not interfere with other apps"
"on January 4, 2016","Love it yay it has all songs yayyyyyy"
"on September 12, 2015","It have a good music and I like this app than other music app."
"on July 18, 2015","Spotify is a wonderful service with a great Free song and album selection!"
"on January 31, 2016","I just absolutely love spotify!"
"on December 19, 2014","It is the best free music app I have ever found that worked.there were some other good ones tho but this is best!!!"
"on March 2, 2015","Pretty good music app that connects you to your web page on Spotify. Works perfectly on Blackberry Z30"
"on December 12, 2015","I think this is the best music app period."
"on March 27, 2015","This app is amazing it has all the songs you need, i love it , this one of the Best Music apps :)"
"on December 16, 2015","This app works just as good as PC version"
"on February 13, 2016","Muy bueno. 100% recomendable"
"on March 24, 2016","Love the music!!!!!"
"on August 7, 2014","I really love this app ! What's not to love about free music and really great play lists. I haven't had any problems and have no complaints !"
"on January 8, 2015","This is one of the best apps I could have downloaded for my tablet. I enjoy it to the fullest on a daily basis."
"on April 18, 2016","Love this app!"
"on May 19, 2016","Awesome"
"on December 29, 2014","I'm still in the process of learning which buttons to click but I'm loving it so far and it'll just get better !!"
"on September 2, 2014","Awesome, loved it the music choices are great and you wont be bored trying to skip songs because it also plays all your favorite albums."
"on February 2, 2015","Spotify is easy to use and best of all free! There are many songs and playlists to choose.from and few ads"
"on January 25, 2016","I dont know to update my spotify"
"on January 2, 2015","Plays everything I like with very little interruptions. Lots of music to choose from. My new music app for sure!"
"on January 27, 2015","I am 100 percent satisfied with Spotify music. I use it every single day. Worth every penny for membership."
"on March 23, 2016","This app is awesome"
"on April 26, 2016","listen daily"
"on January 2, 2016","I like this because it is really easy"
"on February 29, 2016","Good mix and suggestions"
"on February 2, 2016","I love this app like yasssssss"
"on December 15, 2014","Just about the best app ever.... All your favourite songs right there and then no charge! I cant imagine life without it! S"
"on September 14, 2015","I love using this app. Better than Iheart radio in some ways"
"on April 3, 2016","It's okay I guess"
"on February 2, 2016","Love that there is Free music."
"on December 5, 2015","I LOVE IT. And tell all my friends about it"
"on January 26, 2015","Omg you guys are brilliant if you created this app I love how we can just search a song and then it pops up"
"on November 16, 2014","If you love music and like to find new artists to follow this is a must have app! Blows Pandora away! I highly recommend."
"on October 11, 2015","Other then the forced shuffle feature, it's pretty good"
"on December 27, 2015","Its pretty good. I recommend fer sure."
"on January 5, 2015","I enjoy listening to Spotify. It is easily accessible and provides me with all the music I enjoy listening to."
"on August 12, 2015","If it didnt freeze so often I would give it 5 stars, loves this app!"
"on January 14, 2016","I am only 14 and I love this app🐢"
"on May 31, 2015","Uber cool is the best way to describe Spotify! Easy to use and the price is right!"
"on October 6, 2015","I enjoy this app above all others in its category!!!!!!!"
"on December 8, 2015","Free music, who can complain? Is rally gud"
"on January 9, 2016","I love this app. LOVE LOVE LOVE!!!!"
"on April 6, 2016","It's a good app."
"on November 4, 2014","This app is good you can find any song and listen to it  This app is good you can find any song and listen to it."
"on April 28, 2016","It's great!"
"on November 29, 2015","I love it! Especially the running feature :)"
"on March 20, 2016","Love it amazing app"
"on March 25, 2016","IT works perfectly"
"on February 9, 2016","All I use for music love it!"
"on March 20, 2016","Better than Pandora"
"on January 4, 2016","Spotify is my app I use it everyday."
"on January 19, 2015","I Love it and you could pick your own music and i could find them and i love u spotify keep up the good work"
"on March 29, 2016","Cool love the app"
"on January 10, 2016","You can get your favs all in one place!"
"on November 1, 2015","Only used it for the first time today and it's fab"
"on August 7, 2014","Great variety of music. Easy to use. Love it! We listen at work because we move around different locations and cAn pick up where ever we go."
"on April 14, 2016","This app is ok"
"on February 17, 2016","Is exelent, I remended it."
"on October 29, 2014","The best way to listen to music. 5:stars except for the iPad app.that gets 3.5 stars because you can't do a random shuffle."
"on December 29, 2014","For the price thought it was a DVD. Instead it was a super CD. Sound quality poor compared to TV Christmas show."
"on October 3, 2014","Spotify is much better than Pandora with album and artist selection and radio It is a very amazing app and I recommend you get it"
"on September 29, 2015","Fun and good mixes for all sorts of activities and moods."
"on October 22, 2015","Spotify is the best you can download a lot of songs."
"on December 15, 2015","Works well. Quick. Clean. No complaints."
"on March 1, 2016","best way to hear music."
"on May 5, 2016","Wonderful"
"on March 10, 2016","Really good music app"
"on January 7, 2015","I love spotify. I find that even though i am a Pandora One subscriber, i slmost exclusively listen to spotify!"
"on April 26, 2016","Works great"
"on April 2, 2016","Spotify rocks!!!"
"on September 10, 2015","It's a little bit expensive, but its the best thing avaliable"
"on February 12, 2016","very good! I love this app!"
"on May 18, 2016","Great!"
"on February 28, 2015","I have the premium version which allows downloading of playlist, when you don't have internet access."
"on March 18, 2016","What's not to love?"
"on February 1, 2015","So far, still my favorite streaming app...even free, it's excellent! Lots of music and even newer songs."
"on February 2, 2016","Amazing app! Works perfectly!"
"on September 19, 2015","I really enjoy this app . I can find all my favorite songs."
"on April 21, 2016","Ease of use."
"on December 5, 2015","It's Cool So Much Music From The 70's Too!"
"on May 26, 2016","nice"
"on March 17, 2016","Better than Pandora"
"on April 8, 2015","4 words. I LOVE THIS APP. That's all I can say nothing bad. Everything is great for this app!"
"on December 27, 2015","Great app you can play any music you want"
"on December 27, 2015","Love so much I got my favorite music"
"on August 30, 2014","I am so enjoying Spotify. The sound is so good. I love being able to choose my music. Thank you very much for making this available."
"on November 7, 2015","I have spotify on most of the day when I am home"
"on January 23, 2016","My absolute favorite music app!"
"on May 8, 2016","Its good"
"on February 24, 2016","Great app runs very well"
"on February 14, 2016","Best dam music ever u know"
"on December 4, 2015","I luv it I can listen to every song I want"
"on June 24, 2015","Awesome love it amazing there are no words to describe this app it's fabulous"
"on April 6, 2016","Great for music"
"on January 20, 2015","A great way to have a huge variety of music at your fingertips. A really great idea and an even better app!"
"on July 28, 2015","I love it so much I use it on everything, tablet PlayStation phone ect"
"on July 19, 2015","Nice easy to use music app my favorite.... iheartradio is total crap...."
"on November 6, 2015","It's a perfect app for people who like music. :D"
"on October 25, 2014","Music selection is good, but the commercials come way more often than in similar products. Not really worth it in free mode."
"on March 3, 2016","great and easy to use."
"on October 20, 2014","This is one of my favorite apps and games. Please could you add more songs soon and thank you for the songs you already have."
"on December 26, 2015","What to say, spotify, cheap, awesome."
"on August 3, 2014","I chose this app over all because it's better than any other music app I've ever tried. I always find what I'm looking for so it's all love."
"on November 29, 2015","Awesome I can listen to any music I choose."
"on November 29, 2015","Awesome I can listen to any music I choose."
"on November 19, 2014","Best music app ever!!!!!!! No lie all the songs you could want. It's just pure amazing. Wonderful and easy to navigate."
"on April 28, 2016","It's great"
"on November 14, 2014","My only go to music app. I'm an incredibly happy 2 year customer and use Spotify at least 16 hours a day, possibly more."
"on March 29, 2016","So far I love it"
"on August 6, 2015","This is a great app. Helps making listening to your music enjoyable."
"on March 7, 2015","this is the app to use for music...really exceeded my expectations and make pandora useless for me."
"on November 10, 2015","A wide variety of music selection. Easy to use."
"on February 27, 2016","Keeps on getting better...."
"on September 23, 2014","This has all my favorite music. It is ggggggggrrrrreaatttt. Why does this review have to be so long?!? I said what I needed to say"
"on August 2, 2014","It let's me listen to all of my favorite music. I can create different albums, I can listen the radio and browse with all my favorite music."
"on October 19, 2014","You don't need WiFi everything's awesome u can listen to watever and they give u the album best app ever!!!!!!!!!!!!!!!!!!!:)"
"on February 25, 2015","App works really well on the kindle and can stream in really goodquality via Bluetooth to a receiver"
"on January 13, 2015","This is the best game ever u should totally get it no offense but if u don't u are a loser I said no offence"
"on January 21, 2016","Good app very good Gestapo ever"
"on December 21, 2015","I will never unsubscribe from spotify."
"on January 7, 2016","A WONDERFUL way to listen to music"
"on November 9, 2014","The best thing since sliced bread!"
"on March 2, 2016","I love that amazon has apps to download. The apps are super helpful. Once again this app is Amazing, This is a way to shop, watch tv, and enjoy social media. This has been great with my fire stick! My cable provider was proud to provide me with 200+ HD channels. My biggest reason for cutting the cord was that I watched about five channels, of which four could be obtained without cable. They always offer more, more, more...but I wanted less! So, even though cord-cutting is really about not paying for those ""filler"" channels for most of us, the good news is you can still have them for free! Pluto.TV provides a similar ""guide"" interface as most cable providers, and over 100 HD channels. And it's mostly just that: those filler channels you throw on the screen when you're bored, or to have something on in the background when doing other things. If you're into some of the cable channels, you'll notice a decline in program quality. If you're a cord-cutter who just wants the option to have ""those other 100 channels I really don't watch"", and without commercials taking up 1/3 of the airtime, Pluto.TV will fill that void at no cost"
"on April 13, 2016","Awesome music"
"on April 13, 2016","LOVE THIS APP"
"on November 7, 2014","This app is amazing! It has all music and they play amazing.Sadly you have to pay for offline use. But i bet its worth it"
"on November 4, 2015","A user friendly app with tons of music choices."
"on February 25, 2016","AWESOME. So much music."
"on February 23, 2015","I found the app to very useful and easy to navigate through the selection of music that I have found."
"on June 2, 2015","Wow! Great, I can listen to my favorite country music. I also have it on my PS3!!"
"on March 14, 2016","This app is so cool"
"on April 26, 2016","The Best ."
"on February 16, 2016","I love it it's a good app"
"on November 1, 2014","This app works perfect. Its better than any other music I used to download music. I like it because I can search any song."
"on December 27, 2014","The premium is awesome, has all the tunes you can ever want and can make them available offline! Two thumbs up!"
"on November 16, 2014","This is the app to get if you want to listen to music. The only downside is you have to have premium to listen offline."
"on April 21, 2016","Love it!!!!"
"on February 2, 2016","Can't enjoy life without it."
"on May 17, 2016","Great"
"on November 17, 2015","Awesome.. may have stolen me from pandora one"
"on May 30, 2016","Ok"
"on December 23, 2015","Awesome you can get any song you want"
"on February 10, 2016","Tais Apple os awesome!!!!!"
"on October 5, 2014","Pretty good choices. Really annoying that you can only skip so,many songs then u can no,longer skip but overall it's a good app"
"on January 23, 2016","Fun finding music with spotify"
"on September 13, 2015","It is unfair that it doesn't let me listen to a song I want"
"on November 7, 2015","Great music selection!! Way better than Pandora"
"on January 25, 2015","Has a vast selection of music that you can listen to almost anytime, but if you get premium it IS anytime"
"on March 3, 2016","This app is the best."
"on January 9, 2016","Good for when the radio fails you"
"on January 15, 2015","I love it! So great and easy to travel with. I downloaded it to everything I could plug headphones into! :)"
"on March 30, 2016","I love this app"
"on April 28, 2016","Very good"
"on July 28, 2015","Love Spotify! Don't care for the free version, but the paid is great."
"on January 29, 2015","So awesome I love it cuz in my family no one likes the music I like so I putsome headphones and rock out"
"on January 9, 2016","Cool fun @aAaaaaaaaaaa here's jay"
"on November 29, 2014","Endless options and user friendly easy to find all my favorite songs And simple to use. Best music app ever!"
"on February 18, 2016","Cool but has its hiccups"
"on February 9, 2016","It's nice and very helpful"
"on January 19, 2015","The music you want, when you want it. Many albums from 20 30 40 even 50 years ago. Download and have fun!"
"on December 26, 2015","Only music app I really use anymore."
"on March 29, 2016","Awesome to use!"
"on March 29, 2016","Love it!!!!!!!!"
"on March 29, 2016","I love Spotify."
"on March 29, 2016","Love this app!!"
"on January 8, 2016","This app is amazing I love it!!!!"
"on September 16, 2015","I can listen to BTS (bangtan boys) all day and when I want"
"on January 8, 2016","Danger HTML so good for awesomess"
"on March 15, 2016","Plenty of variety."
"on June 8, 2015","This app will help you. If you have never wanted to use it, you are HELPLESS!!!"
"on March 1, 2016","Heroin that is all..."
"on December 29, 2015","Love it. I can find the whole album"
"on January 21, 2016","Easy to use and very fast 😃😃"
"on August 17, 2014","It is very User friendly. The only reason I did not rate it 5 stars is that you must listen to it in shuffle play unless you go premium."
"on October 7, 2014","I love this service! It has never failed to amaze me. A n d I will continue to use this app on my phone, kindle, and computer."
"on January 17, 2015","I really love spotify! It is a great app for music lovers like me! But it won't let me upgrade to premium?"
"on February 21, 2016","Excellent app for music"
"on March 10, 2016","Probably my fav app"
"on April 9, 2016","It is awesome"
"on April 22, 2016","Preetytaty"
"on March 1, 2016","I love spotify!!!!!!!"
"on March 28, 2016","I love this app"
"on March 10, 2016","Very user friendly."
"on August 21, 2014","Better than I heart radio :) easier,simple, I just love it , all of it it just done for you. You can search from music to long time ago"
"on December 2, 2014","Great app love the options."
"on February 26, 2016","Spotify is all I need."
"on April 26, 2016","Excellent"
"on November 27, 2014","Everybody needs to have this app I love it it is a good app I love it . I hope others will enjoy it as much as I did"
"on April 17, 2016","'Nuff said."
"on August 5, 2014","Highly recommend spotlight and spotlight premium works very well and has a large music library. Also the music downloads sound very good."
"on February 16, 2016","I love using Spotify💟💕"
"on August 31, 2014","Spotify music is great but with the premium account it's amazing! I can make as many playlists as I want and can even listen offline."
"on April 17, 2016","I love it ."
"on May 22, 2016","Fun"
"on April 25, 2016","JUST FINE"
"on April 16, 2016","its spotify"
"on May 4, 2016","Superb!"
"on February 19, 2016","This app is pretty good"
"on October 31, 2014","Great app, lots of music to choose from not just the popular songs from each artist, worked great so far without any bugs"
"on February 19, 2016","Has a lot of good music"
"on February 15, 2016","Freaking love Spotify!!!"
"on May 3, 2016","Love it"
"on March 30, 2016","This app great"
"on October 15, 2015","love it!! Love that you can make your own playlist"
"on November 17, 2016","I can watch all of my favorite music including the new artist I recommend you getting this out the guys seriously."
"on January 9, 2016","Awesome!!!! Better than Pandora!"
"on March 21, 2016","Great Music"
"on January 21, 2017","works great 4 me. I like all the choices. aslo the ability to make my own playlist. its easy to find music. the recomendations make finding new songs easier. the shuffel options are nice to pick how songs are played. the suggested playlist also offer ways to find new songs. all the commercials can be annoying. its seems to me that they are more frequent and longer than they use to be. however spotify is easy to use. i switch from pandora to spotify to keep things lively."
"on October 19, 2014","Great App, but needs updated for the Fire HD 6 tablet. It won't install. Edit/Update: It is working now, thanks a million!"
"on June 30, 2015","Love it works great with none of the dropping I have had with other music."
"on December 4, 2014","I love it! I used to have it on my phone, and I am so happy it is on the kindle! You can find literally any music!"
"on August 18, 2014","This app is awesome, which is why I was sad when I opened it today and it glitched! I cant save any music!!!!!!! Please fix it spotify!"
"on February 5, 2016","Best ever. What's Pandora?"
"on September 12, 2015","Whatever mood you're in, there's great music to listen to."
"on October 19, 2015","Bruh I literally have nothing to say it is amazing"
"on April 28, 2016","Its cool"
"on August 6, 2015","Looks like it will handle what I need. Looking at the pay option."
"on March 2, 2015","Spotify is so helpful. I like it a little better than Pandora...great variety of songs and artists"
"on January 13, 2015","I got this on my phone and I can make play lists for my exercise or relaxing I recommend this for everyone"
"on March 11, 2016","Space is so coooll"
"on February 4, 2016","It good no problems so far"
"on April 27, 2016","I low it"
"on March 6, 2016","This app is awesome"
"on May 2, 2016","Is good"
"on March 2, 2016","I don't want to pay!"
"on June 3, 2015","i luv spotify and i use it every day, i would totally recommend it to others :)"
"on November 27, 2014","I love this app!! It's easy to use and it lets me listen to all the music I want without having to download it all."
"on April 27, 2016","love it."
"on February 26, 2016","I love sotfiy so much"
"on April 4, 2016","Is a good app"
"on September 29, 2015","Would be better if didn't need wifi but an awesome app"
"on September 15, 2015","Very easy to use. It provided a large selection of music."
"on September 26, 2014","I've used Spotify on all the other devices and it seems the best on the Kindle. Good Quality and I swear there's less ad's! Lol"
"on February 28, 2015","I liked it. a sweet story... an easy read...I look forward to the next book by Carrie Anne Noble."
"on February 7, 2016","I enjoy the music offered"
"on February 26, 2015","This app is great! It has a bigger variety of songs than any other music app in the Amazon store. It has the songs that i like that iHeart radio doesn't have."
"on August 5, 2014","I have enjoyed listening to spotify on my phone - Its not as user friendly as I would like, but maybe in time I will get more used to it."
"on January 21, 2015","Every time get in the app it closes out but besides that I love it and I think it is better then Pandora"
"on January 16, 2015","Free music is the best thing ever. Me being an extremely cheap consumer this is a very good thing for me."
"on November 26, 2015","This app changed the way my world worked."
"on March 31, 2016","It is awesome"
"on March 9, 2016","such a great item!"
"on February 5, 2015","Never any problems, playlists are great, and it's super easy to use. Runs great on my kindle fire hd."
"on September 20, 2014","I can't fine and the commercial but overall it's amazing it's better than Pandor I'm always getting new songs keep it up Spotify"
"on December 5, 2015","So great music is good has every artist"
"on December 27, 2015","Great app. Never had any problems."
"on January 23, 2016","Its just Great!! I love it!!"
"on March 26, 2016","Love the music"
"on March 13, 2016","Very good product"
"on February 6, 2016","Best app for great music!"
"on January 15, 2015","Spotify is awsome u get any songs there is one thing though after 24 hours u can't skip what songs u want"
"on February 28, 2016","Awesome this Is cool"
"on November 25, 2015","It easy to use and the options are Great."
"on August 3, 2014","It's spotify. With all the music and stuff. Come on. If you're getting the mobile app then im pretty sure you understand what spotify is."
"on February 19, 2016","Best music streaming."
"on February 5, 2016","Perfection at it's finest"
"on March 3, 2016","@theweekendgirl1218"
"on December 31, 2015","I use this app daily and love it."
"on October 14, 2014","Can play All music for free, have tons of songs, unlike iTunes which is 1.29 per song! My whole family uses spotify :)"
"on December 31, 2015","Very good. But it could be better"
"on October 5, 2015","It's great and I want premium but I don't have money"
"on October 10, 2015","I wish there weren't any suggested songs on mobile."
"on April 19, 2016","Spot on !"
"on August 7, 2014","This is different from Pandora. You can save 1 song or a lot. You can customize this app for your own songs. I highly recommend this!!!!"
"on October 5, 2015","Customer service is everything..Spotify has it all !"
"on February 3, 2015","Being able to access so much is awesome! It took my husband and I a trip down memory lane! Priceless!"
"on January 26, 2016","Best way to listen to music"
"on April 3, 2016","Plays the best #Lucifer lists"
"on September 21, 2015","Spotify is a pretty cool app for people who like music."
"on January 8, 2015","Love the app, they seem to almost always suggest music that I like. Just wish there were unlimited skips."
"on September 16, 2015","I can't fault app or this service. What else can I say?."
"on January 17, 2016","This is an awesome music app!"
"on February 4, 2016","great service and product"
"on November 18, 2014","I really like it...only problem I have with it, is when I make a playlist, I DON'T want to hear stuff I DIDN'T save!"
"on February 17, 2016","I love it it's amazing"
"on June 13, 2015","It's fun to customize your playlists and listen to a large variety of music."
"on October 18, 2015","This app is amazing it has all my favorite songs."
"on September 25, 2015","Can't download music. Wouldn't play the song i wanted."
"on October 22, 2015","Love this app, just wish I could pay in advance."
"on February 13, 2016","YES I LOVE IT MUST HAVE"
"on February 26, 2016","Terrific app. Huge number of songs."
"on January 30, 2016","Loving it ♥♥"
"on December 29, 2015","Love it, well worth subscription!"
"on January 25, 2016","I love this app its amazing"
"on March 23, 2016","New more songs"
"on September 24, 2015","It is AWSOME:):):):):):):):):):):):):):):):):):):):):)"
"on January 20, 2016","I love this app so look much"
"on April 1, 2016","wasn't a fan"
"on January 20, 2016","It plays the best songs ever"
"on January 6, 2015","I love this because I can go palace and have .music and I think people should get this because and it cool"
"on December 17, 2014","Love this that's all couldn't say anything bad about it the music choice are amazing can find what ever I want"
"on March 20, 2015","I like the fact that I can choose my musis according to my mood or what I am doing at moment."
"on March 14, 2016","It's pretty nice"
"on March 4, 2015","Best music app...better then Pandora."
"on April 8, 2016","Really cool"
"on July 30, 2014","There seems to be an excellent choice of music. I realized very soon that navigation is not intuitive, as I see it. I need to work on it."
"on July 30, 2015","Is a completed music sopot, when you can find every type of music."
"on May 4, 2016","Great"
"on December 1, 2015","Great........And ......is,,..........🆓"
"on October 7, 2015","This a app is so cool you can get the newest music!"
"on April 13, 2015","I have now abandoned all other streaming music services. Spotify is the service for me!"
"on April 25, 2016","Łove it"
"on February 27, 2015","I have been enjoying Spotify very much. Hopefully it will continue to give me much more pleasure."
"on July 25, 2015","This app is awesome!! I love music so this app is for music lovers."
"on March 18, 2016","Great music app"
"on January 5, 2015","Can't find any faults in Spotify . Favorite music app - Great playlists too, for the moods . 2 thumbs up ."
"on November 30, 2014","I really loved the content of Spotify. It was amazing, all the songs right at my fingertips. best music app ever."
"on October 11, 2015","Really good music app with all the music I love :3"
"on May 17, 2016","Ok"
"on November 3, 2015","Not as easy to use as I hoped. Too confusing."
"on February 6, 2016","Could't live without it!"
"on August 21, 2015","Decent selection. Seeems to update with new tunes frequently."
"on October 20, 2014","You can use spotify for free and play any song at all I love spotify!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! It's my fave app ever"
"on August 24, 2014","Best decision I've ever made. Got rid of Pandora, Songza, all other music streaming apps basically, it's that convenient and awesome"
"on January 4, 2015","It is very good and really works really well it has mostly ever song like how awesome is that like forreal"
"on December 25, 2014","I love spotify soo much i spend all of my time on that app from morning to midnight jk but it is a great app"
"on January 9, 2015","Now I could listen to Justin Bieber music and others. Great view. I just love it. 🎶🎶🎶🎶🎶🎵🎵🎵🎵 🎤🎤"
"on December 31, 2015","Great amazing balls cool helpful"
"on November 9, 2014","Soon as I figured how to get out of one song and go to another(before it is over) I was very happy with it....thanks."
"on January 24, 2015","Even just having the free version gives you so much access to music it's amazing definitely recommend!"
"on December 22, 2015","LOVE SPOTIFY for all my p!aylists!"
"on January 4, 2016","Better than the android version"
"on December 19, 2014","My children love this, so i tried it...and love love it!! If you can remember the name, the song will be here"
"on December 8, 2015","I love it😁😊😊😊😊😊😁😁😁😁😁😁😁😄"
"on April 19, 2016","Good app"
